Sentiment in Forums,Risk Level Prediction,Word Count,processed_IOCs (Indicators of Compromise),processed_Threat Actor,processed_Attack Vector,processed_Geographical Location,processed_Cleaned Threat Description,processed_Keyword Extraction,processed_Named Entities (NER),processed_Topic Modeling Labels,Threat Category,Severity Score,Suggested Defense Mechanism
0.79,1,45,,anonymous,network,russia,malware detected email attachment,,service,ddos,Phishing,4,Increase Web Security
0.67,2,28,,lazarus group,network,north korea,ransomware attack network vulnerability,,,ddos,Ransomware,5,Increase Web Security
0.99,2,18,,,web,germany,phishing email malicious link,,,ddos,Malware,2,Quarantine
0.51,4,16,,lazarus group,web,north korea,ransomware attack network vulnerability,,service,ransomware,Malware,1,Increase Web Security
0.63,5,39,,anonymous,network,north korea,phishing scam targeting corporate account,,group device,ddos,Ransomware,1,Increase Web Security
0.76,3,22,,lazarus group,web,russia,phishing email malicious link,,group device,ddos,Ransomware,5,Increase Web Security
0.76,3,36,,,email,north korea,malware detected email attachment,,,ddos,Ransomware,5,Monitor for Phishing
0.79,4,44,,unknown,email,russia,phishing email malicious link,,,malware,Malware,4,Monitor for Phishing
0.88,2,22,,lazarus group,network,usa,malware detected email attachment,,,ddos,Malware,3,Increase Web Security
0.81,3,24,,lazarus group,email,germany,malware detected email attachment,,,ransomware,Phishing,1,Monitor for Phishing
0.8,2,18,,,network,north korea,distributed denial service attack public website,,service,phishing,Phishing,5,Patch Vulnerability
0.53,4,32,,,network,russia,distributed denial service attack public website,,,malware,Malware,1,Increase Web Security
0.69,2,45,,lazarus group,email,global,ransomware attack network vulnerability,,,phishing,Ransomware,5,Patch Vulnerability
0.62,2,49,,anonymous,web,north korea,ransomware attack network vulnerability,,,ddos,Ransomware,2,Quarantine
0.63,2,12,,lazarus group,email,usa,malware detected email attachment,,group device,phishing,Phishing,1,Patch Vulnerability
0.78,3,43,,,email,usa,phishing email malicious link,,,phishing,Malware,2,Quarantine
0.6,1,28,,unknown,network,global,phishing scam targeting corporate account,,service,malware,Phishing,1,Increase Web Security
0.65,5,37,,unknown,network,russia,phishing scam targeting corporate account,,,phishing,Phishing,3,Quarantine
0.62,2,32,,anonymous,network,north korea,phishing email malicious link,,,ransomware,DDoS,4,Quarantine
0.97,2,49,,lazarus group,network,russia,phishing email malicious link,,,phishing,DDoS,2,Patch Vulnerability
0.97,2,16,,unknown,web,usa,distributed denial service attack public website,,service,phishing,DDoS,5,Patch Vulnerability
0.8,1,21,,lazarus group,web,russia,phishing scam targeting corporate account,,,phishing,Ransomware,3,Patch Vulnerability
0.96,4,23,,,web,usa,malware detected email attachment,,,phishing,Malware,1,Increase Web Security
0.89,3,24,,unknown,network,russia,ransomware attack network vulnerability,,group device,malware,Malware,2,Increase Web Security
0.79,1,12,,anonymous,network,global,distributed denial service attack public website,,,phishing,Malware,1,Patch Vulnerability
0.5,2,24,,,network,germany,phishing scam targeting corporate account,,group device,phishing,Malware,1,Increase Web Security
0.89,1,33,,anonymous,web,global,phishing email malicious link,,service,ransomware,DDoS,1,Increase Web Security
0.85,1,17,,,network,global,phishing scam targeting corporate account,,group device,ransomware,Ransomware,4,Quarantine
0.81,1,14,,unknown,email,germany,malware detected email attachment,,,ddos,Ransomware,4,Quarantine
0.88,4,13,,anonymous,email,germany,distributed denial service attack public website,,,phishing,DDoS,5,Patch Vulnerability
0.76,5,23,,anonymous,network,north korea,phishing email malicious link,,,phishing,Ransomware,2,Increase Web Security
0.85,3,25,,,email,north korea,malware detected email attachment,,,phishing,DDoS,3,Quarantine
0.97,4,29,,anonymous,email,global,ransomware attack network vulnerability,,group device,phishing,Malware,3,Monitor for Phishing
0.69,4,33,,,web,global,distributed denial service attack public website,,,phishing,DDoS,3,Increase Web Security
0.85,5,15,,,network,usa,malware detected email attachment,,,ransomware,Malware,1,Monitor for Phishing
0.74,4,40,,,network,usa,malware detected email attachment,,,phishing,Malware,4,Patch Vulnerability
0.84,1,15,,,web,north korea,phishing email malicious link,,service,phishing,Phishing,2,Increase Web Security
0.88,1,44,,unknown,email,north korea,ransomware attack network vulnerability,,,ddos,DDoS,1,Patch Vulnerability
0.52,2,24,,,email,usa,malware detected email attachment,,service,ransomware,Phishing,4,Patch Vulnerability
0.82,4,38,,lazarus group,network,usa,distributed denial service attack public website,,service,phishing,DDoS,4,Patch Vulnerability
0.61,2,12,,anonymous,email,russia,malware detected email attachment,,service,phishing,DDoS,2,Patch Vulnerability
0.84,3,20,,lazarus group,web,russia,phishing scam targeting corporate account,,,malware,Phishing,2,Patch Vulnerability
0.73,1,12,,unknown,web,usa,distributed denial service attack public website,,service,malware,Phishing,2,Increase Web Security
0.89,3,37,,lazarus group,network,russia,distributed denial service attack public website,,group device,malware,DDoS,1,Monitor for Phishing
0.56,5,19,,anonymous,web,germany,malware detected email attachment,,,phishing,Ransomware,5,Increase Web Security
0.81,1,42,,lazarus group,web,north korea,phishing email malicious link,,,phishing,Malware,2,Increase Web Security
0.64,3,25,,unknown,network,north korea,distributed denial service attack public website,,service,ddos,Phishing,5,Increase Web Security
0.93,5,19,,,web,usa,phishing scam targeting corporate account,,,ddos,Malware,1,Quarantine
0.96,3,42,,lazarus group,web,global,phishing email malicious link,,,ddos,Ransomware,5,Quarantine
1.0,5,45,,unknown,web,usa,phishing email malicious link,,,malware,Ransomware,3,Increase Web Security
0.9,5,12,,unknown,email,russia,phishing email malicious link,,,phishing,Ransomware,5,Monitor for Phishing
0.88,1,14,,anonymous,network,global,distributed denial service attack public website,,group device,malware,Phishing,2,Increase Web Security
0.61,2,21,,anonymous,network,russia,phishing email malicious link,,,ddos,Ransomware,1,Patch Vulnerability
0.67,5,22,,lazarus group,network,germany,malware detected email attachment,,,phishing,Phishing,2,Quarantine
0.73,5,33,,,email,russia,phishing email malicious link,,,ransomware,Ransomware,3,Quarantine
0.89,1,41,,unknown,email,germany,phishing scam targeting corporate account,,,phishing,Malware,2,Increase Web Security
0.96,2,25,,lazarus group,network,germany,ransomware attack network vulnerability,,,phishing,Malware,2,Increase Web Security
0.59,4,41,,unknown,email,russia,phishing scam targeting corporate account,,service,ddos,DDoS,2,Monitor for Phishing
0.96,4,46,,unknown,network,russia,distributed denial service attack public website,,,malware,Malware,4,Monitor for Phishing
0.85,2,45,,,email,germany,phishing email malicious link,,,ransomware,DDoS,3,Patch Vulnerability
0.81,3,30,,,web,global,phishing email malicious link,,group device,phishing,Malware,2,Increase Web Security
0.6,1,21,,lazarus group,web,germany,malware detected email attachment,,,malware,Phishing,2,Increase Web Security
0.53,2,30,,,network,north korea,phishing email malicious link,,group device,ddos,Malware,2,Increase Web Security
0.78,4,30,,,email,germany,phishing scam targeting corporate account,,,malware,DDoS,1,Quarantine
0.83,5,15,,lazarus group,email,global,distributed denial service attack public website,,service,ddos,DDoS,4,Patch Vulnerability
0.61,4,18,,,web,north korea,ransomware attack network vulnerability,,group device,phishing,Ransomware,1,Monitor for Phishing
0.78,5,10,,anonymous,web,usa,phishing email malicious link,,,phishing,Phishing,4,Quarantine
0.93,1,21,,unknown,email,usa,ransomware attack network vulnerability,,,malware,Malware,2,Quarantine
0.92,5,23,,unknown,email,global,phishing email malicious link,,,ransomware,Ransomware,3,Quarantine
0.96,2,15,,unknown,email,germany,distributed denial service attack public website,,,phishing,Malware,5,Quarantine
0.68,5,10,,unknown,email,russia,phishing scam targeting corporate account,,group device,ddos,Malware,5,Patch Vulnerability
0.66,3,31,,lazarus group,email,global,distributed denial service attack public website,,,phishing,Ransomware,2,Increase Web Security
0.87,2,43,,unknown,email,north korea,ransomware attack network vulnerability,,group device,phishing,Ransomware,1,Monitor for Phishing
0.72,1,20,,unknown,network,north korea,phishing email malicious link,,,ransomware,Ransomware,3,Monitor for Phishing
0.54,2,12,,unknown,email,usa,ransomware attack network vulnerability,,,ransomware,Ransomware,4,Quarantine
0.64,3,15,,unknown,web,north korea,phishing scam targeting corporate account,,,phishing,Ransomware,2,Quarantine
0.71,1,15,,anonymous,network,global,distributed denial service attack public website,,service,phishing,Malware,3,Patch Vulnerability
0.65,4,29,,unknown,email,north korea,ransomware attack network vulnerability,,,phishing,Ransomware,3,Quarantine
0.67,3,30,,anonymous,web,global,ransomware attack network vulnerability,,,malware,Phishing,4,Monitor for Phishing
0.65,1,11,,lazarus group,network,russia,phishing scam targeting corporate account,,,ransomware,DDoS,3,Monitor for Phishing
0.52,5,35,,,web,usa,phishing email malicious link,,group device,ransomware,Ransomware,1,Increase Web Security
0.82,2,40,,unknown,email,north korea,ransomware attack network vulnerability,,group device,malware,Ransomware,1,Increase Web Security
0.8,1,35,,,email,global,phishing scam targeting corporate account,,service,phishing,Malware,1,Monitor for Phishing
0.83,2,41,,,email,germany,phishing email malicious link,,group device,ransomware,Ransomware,3,Monitor for Phishing
0.6,5,19,,lazarus group,email,usa,phishing email malicious link,,,ddos,Ransomware,1,Patch Vulnerability
0.65,1,32,,,network,russia,distributed denial service attack public website,,group device,ddos,Ransomware,4,Patch Vulnerability
0.81,4,15,,anonymous,network,global,phishing scam targeting corporate account,,service,phishing,Malware,3,Monitor for Phishing
0.8,3,32,,,web,russia,phishing email malicious link,,,malware,Ransomware,5,Quarantine
0.75,1,37,,,email,russia,distributed denial service attack public website,,group device,phishing,DDoS,3,Increase Web Security
0.68,5,39,,,web,north korea,malware detected email attachment,,,phishing,Malware,4,Monitor for Phishing
0.96,1,23,,unknown,network,north korea,phishing scam targeting corporate account,,,phishing,DDoS,5,Quarantine
0.67,2,46,,unknown,email,global,malware detected email attachment,,,phishing,Malware,3,Monitor for Phishing
0.73,1,41,,anonymous,email,germany,phishing email malicious link,,,ddos,Ransomware,1,Increase Web Security
0.84,4,43,,anonymous,network,global,phishing scam targeting corporate account,,group device,malware,DDoS,2,Increase Web Security
0.77,1,31,,unknown,network,germany,distributed denial service attack public website,,service,ddos,Malware,2,Patch Vulnerability
0.67,3,40,,anonymous,network,russia,phishing email malicious link,,,malware,Phishing,1,Patch Vulnerability
0.72,1,16,,unknown,network,usa,phishing scam targeting corporate account,,,phishing,Ransomware,2,Patch Vulnerability
0.9,2,30,,lazarus group,network,global,phishing scam targeting corporate account,,,phishing,Malware,2,Patch Vulnerability
0.64,1,25,,,email,global,malware detected email attachment,,,ransomware,Phishing,1,Increase Web Security
0.57,4,29,,,network,germany,phishing email malicious link,,,ransomware,Malware,1,Quarantine
0.66,5,28,,anonymous,email,russia,distributed denial service attack public website,,,malware,Phishing,3,Quarantine
0.92,1,41,,unknown,email,russia,distributed denial service attack public website,,group device,malware,Ransomware,3,Quarantine
0.54,1,24,,unknown,network,germany,phishing email malicious link,,,ddos,DDoS,1,Monitor for Phishing
1.0,3,14,,anonymous,network,russia,phishing email malicious link,,,ransomware,Phishing,4,Patch Vulnerability
0.77,4,20,,unknown,email,north korea,ransomware attack network vulnerability,,service,ddos,Malware,2,Patch Vulnerability
0.99,5,24,,lazarus group,network,usa,malware detected email attachment,,group device,phishing,Ransomware,3,Increase Web Security
0.97,2,38,,,network,global,phishing email malicious link,,group device,ransomware,Phishing,2,Increase Web Security
0.73,1,13,,anonymous,network,usa,phishing email malicious link,,service,phishing,Malware,5,Monitor for Phishing
0.6,5,45,,anonymous,web,global,ransomware attack network vulnerability,,service,phishing,Malware,1,Monitor for Phishing
0.58,2,32,,unknown,email,north korea,ransomware attack network vulnerability,,service,ddos,Malware,4,Quarantine
0.62,4,24,,anonymous,web,russia,phishing scam targeting corporate account,,,malware,Phishing,5,Increase Web Security
0.86,4,12,,lazarus group,network,germany,distributed denial service attack public website,,,ransomware,Phishing,5,Patch Vulnerability
0.64,5,41,,unknown,web,north korea,malware detected email attachment,,,ddos,Phishing,5,Quarantine
0.67,2,19,,unknown,network,usa,phishing scam targeting corporate account,,,malware,DDoS,1,Patch Vulnerability
0.72,4,49,,unknown,web,germany,phishing email malicious link,,,phishing,Phishing,3,Quarantine
0.96,5,47,,unknown,network,russia,ransomware attack network vulnerability,,,ransomware,Phishing,1,Patch Vulnerability
0.59,4,31,,lazarus group,web,north korea,distributed denial service attack public website,,,phishing,Phishing,3,Monitor for Phishing
0.5,4,23,,unknown,web,germany,phishing scam targeting corporate account,,group device,phishing,DDoS,5,Quarantine
0.53,4,26,,anonymous,web,north korea,distributed denial service attack public website,,,malware,Phishing,5,Patch Vulnerability
0.95,3,30,,lazarus group,email,north korea,ransomware attack network vulnerability,,,ransomware,Malware,4,Patch Vulnerability
0.82,2,24,,,web,russia,phishing scam targeting corporate account,,,ransomware,Phishing,3,Increase Web Security
0.64,5,24,,,email,global,phishing scam targeting corporate account,,,phishing,Malware,5,Quarantine
0.59,5,10,,anonymous,network,germany,distributed denial service attack public website,,,ransomware,Malware,2,Patch Vulnerability
0.65,2,33,,anonymous,web,russia,ransomware attack network vulnerability,,group device,malware,Malware,4,Increase Web Security
0.56,2,21,,lazarus group,network,north korea,phishing email malicious link,,,phishing,DDoS,1,Patch Vulnerability
0.97,2,19,,,network,russia,phishing scam targeting corporate account,,,phishing,DDoS,4,Quarantine
0.89,2,40,,,web,global,phishing email malicious link,,service,phishing,DDoS,2,Monitor for Phishing
0.73,1,20,,,email,germany,ransomware attack network vulnerability,,,phishing,Phishing,3,Quarantine
0.93,5,25,,,web,global,phishing scam targeting corporate account,,service,phishing,Malware,1,Quarantine
0.62,1,18,,,network,usa,phishing scam targeting corporate account,,,malware,DDoS,1,Patch Vulnerability
0.86,4,23,,unknown,network,germany,phishing email malicious link,,,ddos,DDoS,3,Patch Vulnerability
0.93,4,28,,anonymous,web,global,malware detected email attachment,,,ddos,Phishing,4,Quarantine
0.68,5,40,,unknown,email,north korea,phishing email malicious link,,,phishing,DDoS,5,Increase Web Security
0.88,4,18,,,email,germany,phishing email malicious link,,,malware,Phishing,4,Increase Web Security
0.65,2,45,,lazarus group,network,germany,malware detected email attachment,,,ransomware,Ransomware,2,Increase Web Security
0.65,1,48,,lazarus group,network,russia,ransomware attack network vulnerability,,group device,phishing,DDoS,5,Patch Vulnerability
0.55,2,35,,,email,north korea,ransomware attack network vulnerability,,service,ddos,Ransomware,4,Patch Vulnerability
0.72,4,17,,,web,usa,phishing scam targeting corporate account,,service,malware,Phishing,3,Quarantine
0.86,1,33,,lazarus group,network,global,distributed denial service attack public website,,service,phishing,Malware,2,Monitor for Phishing
0.97,2,17,,unknown,email,russia,distributed denial service attack public website,,,malware,DDoS,2,Patch Vulnerability
0.8,5,28,,unknown,network,global,phishing scam targeting corporate account,,group device,malware,Phishing,2,Quarantine
0.93,2,39,,,web,usa,distributed denial service attack public website,,service,ddos,Malware,5,Quarantine
0.91,4,31,,unknown,email,usa,phishing email malicious link,,service,ddos,Malware,1,Monitor for Phishing
0.59,1,18,,lazarus group,network,germany,phishing email malicious link,,group device,ransomware,Ransomware,5,Increase Web Security
0.74,5,13,,unknown,web,usa,malware detected email attachment,,,ransomware,Phishing,4,Quarantine
0.56,1,46,,,network,global,malware detected email attachment,,service,phishing,Malware,1,Quarantine
0.84,5,17,,lazarus group,web,north korea,phishing scam targeting corporate account,,,phishing,DDoS,4,Quarantine
0.97,1,10,,unknown,web,north korea,phishing scam targeting corporate account,,service,ransomware,DDoS,1,Increase Web Security
0.57,4,37,,anonymous,email,germany,phishing scam targeting corporate account,,,ddos,Ransomware,5,Increase Web Security
0.87,5,15,,lazarus group,web,global,phishing email malicious link,,,malware,Malware,2,Monitor for Phishing
0.82,3,45,,lazarus group,network,global,distributed denial service attack public website,,service,phishing,Phishing,3,Patch Vulnerability
0.79,1,20,,anonymous,web,usa,phishing scam targeting corporate account,,,ransomware,DDoS,2,Increase Web Security
0.7,1,14,,anonymous,web,global,phishing scam targeting corporate account,,group device,malware,Malware,5,Patch Vulnerability
0.68,2,33,,lazarus group,email,russia,phishing email malicious link,,,malware,Malware,1,Patch Vulnerability
0.52,5,27,,anonymous,web,usa,phishing email malicious link,,group device,ransomware,Ransomware,2,Increase Web Security
0.61,3,29,,,web,russia,phishing email malicious link,,service,phishing,DDoS,5,Quarantine
0.51,4,37,,,network,germany,distributed denial service attack public website,,group device,phishing,DDoS,4,Monitor for Phishing
0.79,2,22,,,email,north korea,phishing scam targeting corporate account,,,phishing,Phishing,3,Patch Vulnerability
0.55,3,14,,lazarus group,email,germany,ransomware attack network vulnerability,,,phishing,DDoS,2,Quarantine
0.94,5,39,,anonymous,email,north korea,ransomware attack network vulnerability,,,phishing,Phishing,1,Increase Web Security
0.76,3,10,,anonymous,web,germany,phishing scam targeting corporate account,,,ddos,DDoS,4,Patch Vulnerability
0.85,1,31,,unknown,email,global,phishing scam targeting corporate account,,,ransomware,Ransomware,5,Patch Vulnerability
0.71,1,27,,unknown,web,russia,phishing scam targeting corporate account,,,malware,DDoS,3,Patch Vulnerability
0.78,2,14,,anonymous,web,north korea,phishing scam targeting corporate account,,service,phishing,Phishing,1,Quarantine
0.97,5,40,,anonymous,network,usa,distributed denial service attack public website,,service,phishing,Phishing,5,Quarantine
0.54,5,15,,anonymous,network,russia,ransomware attack network vulnerability,,,phishing,Ransomware,5,Quarantine
0.63,3,36,,lazarus group,network,usa,malware detected email attachment,,,phishing,DDoS,2,Patch Vulnerability
0.89,2,34,,anonymous,network,russia,ransomware attack network vulnerability,,group device,phishing,DDoS,2,Patch Vulnerability
0.55,5,38,,unknown,network,russia,ransomware attack network vulnerability,,,phishing,Ransomware,1,Monitor for Phishing
0.54,1,37,,lazarus group,web,germany,phishing email malicious link,,service,ransomware,DDoS,5,Monitor for Phishing
0.68,3,25,,anonymous,web,north korea,phishing scam targeting corporate account,,,malware,DDoS,2,Quarantine
0.55,4,21,,unknown,email,north korea,phishing scam targeting corporate account,,,ransomware,Phishing,3,Quarantine
0.79,1,29,,lazarus group,web,russia,phishing scam targeting corporate account,,group device,ransomware,DDoS,3,Increase Web Security
0.61,2,27,,anonymous,web,global,phishing email malicious link,,group device,phishing,DDoS,5,Quarantine
0.95,5,43,,anonymous,network,global,distributed denial service attack public website,,service,phishing,Ransomware,2,Monitor for Phishing
0.89,1,32,,anonymous,web,usa,distributed denial service attack public website,,,malware,Ransomware,1,Monitor for Phishing
0.85,4,36,,lazarus group,network,usa,malware detected email attachment,,,phishing,Malware,1,Monitor for Phishing
0.81,4,26,,unknown,email,germany,distributed denial service attack public website,,,ransomware,Phishing,1,Patch Vulnerability
0.93,2,30,,unknown,email,russia,distributed denial service attack public website,,,malware,DDoS,3,Patch Vulnerability
0.61,1,49,,,web,usa,phishing scam targeting corporate account,,,ransomware,DDoS,2,Quarantine
0.94,3,40,,anonymous,email,usa,ransomware attack network vulnerability,,service,phishing,Malware,2,Increase Web Security
0.89,1,12,,,web,russia,distributed denial service attack public website,,,ransomware,DDoS,3,Increase Web Security
0.87,4,26,,,email,germany,distributed denial service attack public website,,group device,ddos,Phishing,1,Increase Web Security
0.78,2,35,,unknown,network,usa,phishing email malicious link,,,malware,Malware,1,Patch Vulnerability
0.62,2,32,,lazarus group,network,germany,malware detected email attachment,,service,phishing,Phishing,5,Monitor for Phishing
0.71,3,15,,lazarus group,network,north korea,phishing email malicious link,,,ransomware,Malware,4,Monitor for Phishing
0.9,2,37,,unknown,network,germany,phishing scam targeting corporate account,,,malware,Malware,2,Patch Vulnerability
0.52,2,17,,lazarus group,web,global,ransomware attack network vulnerability,,,malware,Ransomware,2,Increase Web Security
0.89,2,17,,,email,global,malware detected email attachment,,group device,ransomware,Phishing,2,Increase Web Security
0.62,2,28,,anonymous,web,germany,phishing email malicious link,,group device,phishing,DDoS,4,Quarantine
0.57,2,47,,unknown,network,global,distributed denial service attack public website,,group device,phishing,DDoS,5,Quarantine
0.56,4,38,,anonymous,web,north korea,distributed denial service attack public website,,service,ransomware,Phishing,4,Increase Web Security
0.51,1,32,,lazarus group,email,russia,malware detected email attachment,,,malware,DDoS,1,Patch Vulnerability
0.76,5,41,,anonymous,web,global,distributed denial service attack public website,,,phishing,DDoS,1,Increase Web Security
0.61,2,19,,lazarus group,email,global,phishing email malicious link,,,ransomware,Phishing,2,Quarantine
0.99,5,36,,lazarus group,web,germany,phishing email malicious link,,,ransomware,Malware,3,Increase Web Security
0.79,5,10,,,email,north korea,distributed denial service attack public website,,group device,ransomware,Phishing,2,Patch Vulnerability
0.57,4,48,,lazarus group,email,russia,distributed denial service attack public website,,,malware,Malware,3,Monitor for Phishing
0.84,2,38,,,network,germany,phishing scam targeting corporate account,,,phishing,DDoS,4,Patch Vulnerability
0.95,5,12,,,email,germany,ransomware attack network vulnerability,,,malware,DDoS,1,Patch Vulnerability
0.87,2,46,,,network,north korea,malware detected email attachment,,,ddos,DDoS,3,Quarantine
0.54,3,40,,unknown,network,russia,phishing email malicious link,,service,phishing,Ransomware,4,Patch Vulnerability
0.95,3,20,,unknown,network,north korea,malware detected email attachment,,,malware,Malware,1,Patch Vulnerability
0.9,3,31,,lazarus group,web,russia,phishing scam targeting corporate account,,service,phishing,Ransomware,3,Quarantine
0.58,5,27,,,web,north korea,phishing email malicious link,,service,ddos,Ransomware,2,Quarantine
0.53,3,44,,unknown,web,germany,phishing scam targeting corporate account,,service,phishing,Phishing,2,Monitor for Phishing
0.78,4,15,,,web,germany,phishing scam targeting corporate account,,service,ransomware,Ransomware,2,Increase Web Security
0.58,4,12,,anonymous,email,usa,distributed denial service attack public website,,,malware,Phishing,4,Patch Vulnerability
0.92,5,14,,anonymous,email,global,malware detected email attachment,,,ddos,Phishing,2,Quarantine
0.68,2,18,,anonymous,web,north korea,malware detected email attachment,,,ddos,Ransomware,5,Monitor for Phishing
0.96,1,37,,lazarus group,email,usa,distributed denial service attack public website,,service,phishing,Malware,1,Increase Web Security
0.78,2,28,,,email,global,malware detected email attachment,,,phishing,Malware,4,Quarantine
0.59,2,37,,anonymous,network,north korea,distributed denial service attack public website,,,ransomware,Malware,2,Increase Web Security
0.57,2,36,,unknown,network,russia,phishing email malicious link,,,phishing,Malware,1,Increase Web Security
0.79,2,22,,anonymous,network,global,phishing scam targeting corporate account,,group device,malware,Malware,3,Patch Vulnerability
0.88,1,47,,anonymous,network,germany,phishing scam targeting corporate account,,service,malware,Ransomware,2,Patch Vulnerability
0.89,3,30,,anonymous,email,usa,malware detected email attachment,,group device,malware,Ransomware,1,Quarantine
0.64,2,36,,lazarus group,web,global,ransomware attack network vulnerability,,,phishing,DDoS,5,Increase Web Security
0.6,4,15,,unknown,email,global,phishing scam targeting corporate account,,,malware,Malware,3,Quarantine
0.51,5,47,,,email,germany,distributed denial service attack public website,,group device,phishing,Ransomware,5,Quarantine
0.84,5,20,,unknown,email,north korea,ransomware attack network vulnerability,,,phishing,DDoS,1,Increase Web Security
0.54,4,26,,,network,russia,ransomware attack network vulnerability,,service,malware,Malware,5,Quarantine
0.71,2,48,,lazarus group,network,germany,phishing scam targeting corporate account,,,ddos,Phishing,1,Increase Web Security
0.8,1,16,,lazarus group,network,russia,phishing scam targeting corporate account,,,ddos,DDoS,1,Increase Web Security
0.97,3,39,,lazarus group,web,north korea,phishing scam targeting corporate account,,,ddos,Ransomware,5,Increase Web Security
0.66,5,30,,lazarus group,email,global,distributed denial service attack public website,,service,ransomware,Phishing,1,Increase Web Security
0.62,3,10,,,web,russia,ransomware attack network vulnerability,,,phishing,Phishing,2,Monitor for Phishing
0.83,1,34,,anonymous,network,usa,malware detected email attachment,,,malware,Phishing,1,Increase Web Security
0.81,5,41,,,web,usa,distributed denial service attack public website,,service,ransomware,DDoS,4,Patch Vulnerability
0.67,3,17,,unknown,email,germany,phishing email malicious link,,service,ddos,Ransomware,1,Patch Vulnerability
0.96,1,14,,lazarus group,email,north korea,phishing scam targeting corporate account,,,malware,Phishing,4,Patch Vulnerability
0.92,3,39,,lazarus group,network,germany,ransomware attack network vulnerability,,,ransomware,Malware,1,Increase Web Security
0.61,2,17,,unknown,network,germany,distributed denial service attack public website,,service,phishing,Phishing,1,Patch Vulnerability
0.62,1,28,,,web,germany,phishing email malicious link,,,ddos,Phishing,5,Monitor for Phishing
0.76,3,39,,anonymous,network,usa,distributed denial service attack public website,,group device,ransomware,DDoS,2,Quarantine
0.89,2,24,,anonymous,network,usa,distributed denial service attack public website,,,phishing,DDoS,2,Increase Web Security
0.52,2,45,,unknown,email,germany,malware detected email attachment,,service,ddos,Ransomware,3,Patch Vulnerability
0.85,1,36,,anonymous,network,usa,malware detected email attachment,,service,phishing,Malware,5,Monitor for Phishing
0.82,4,22,,,network,north korea,distributed denial service attack public website,,,ddos,DDoS,5,Quarantine
0.62,5,23,,,email,germany,phishing email malicious link,,group device,phishing,Phishing,2,Monitor for Phishing
0.84,1,46,,unknown,email,usa,ransomware attack network vulnerability,,,phishing,Ransomware,5,Patch Vulnerability
0.97,2,39,,,web,russia,ransomware attack network vulnerability,,,phishing,Phishing,2,Monitor for Phishing
0.52,2,48,,lazarus group,network,germany,phishing scam targeting corporate account,,service,malware,Phishing,5,Quarantine
0.66,1,22,,unknown,email,germany,phishing scam targeting corporate account,,group device,malware,DDoS,1,Patch Vulnerability
0.72,4,25,,,web,north korea,ransomware attack network vulnerability,,,phishing,Ransomware,2,Quarantine
0.95,5,16,,unknown,web,global,distributed denial service attack public website,,,phishing,Malware,2,Monitor for Phishing
0.98,3,36,,anonymous,network,global,distributed denial service attack public website,,service,phishing,Malware,4,Increase Web Security
0.72,1,44,,,network,north korea,malware detected email attachment,,,ransomware,DDoS,5,Increase Web Security
